,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,timestamp,1,2,5
212,212,212,212,8520.0,"(380, 182)","(326, 269)","(334, 234)"
213,213,213,213,8560.0,"(377, 181)","(323, 270)","(332, 234)"
214,214,214,214,8600.0,"(375, 180)","(321, 270)","(329, 233)"
215,215,215,215,8640.0,"(373, 180)","(318, 271)","(326, 235)"
216,216,216,216,8680.0,"(369, 178)","(314, 271)","(322, 235)"
217,217,217,217,8720.0,"(365, 177)","(312, 270)","(319, 234)"
218,218,218,218,8760.0,"(364, 176)","(309, 271)","(317, 235)"
219,219,219,219,8800.0,"(361, 176)","(307, 271)","(314, 236)"
220,220,220,220,8840.0,"(359, 174)","(304, 271)","(312, 235)"
221,221,221,221,8880.0,"(355, 174)","(300, 270)","(307, 236)"
222,222,222,222,8920.0,"(352, 173)","(297, 270)","(305, 236)"
223,223,223,223,8960.0,"(350, 173)","(295, 270)","(302, 236)"
224,224,224,224,9000.0,"(348, 173)","(292, 268)","(299, 236)"
225,225,225,225,9040.000000000002,"(345, 172)","(290, 268)","(297, 235)"
226,226,226,226,9080.0,"(341, 172)","(284, 266)","(291, 234)"
227,227,227,227,9120.000000000002,"(338, 172)","(281, 265)","(288, 234)"
228,228,228,228,9160.0,"(336, 172)","(279, 264)","(285, 234)"
229,229,229,229,9200.000000000002,"(334, 172)","(276, 263)","(283, 234)"
230,230,230,230,9240.0,"(331, 172)","(273, 263)","(280, 234)"
231,231,231,231,9280.0,"(326, 172)","(269, 261)","(276, 233)"
232,232,232,232,9320.0,"(322, 173)","(267, 261)","(273, 233)"
233,233,233,233,9360.0,"(319, 174)","(264, 261)","(269, 234)"
234,234,234,234,9400.0,"(317, 174)","(262, 260)","(267, 233)"
235,235,235,235,9440.0,"(313, 173)","(259, 260)","(265, 234)"
236,236,236,236,9480.0,"(309, 175)","(255, 261)","(261, 233)"
237,237,237,237,9520.0,"(305, 174)","(253, 260)","(258, 233)"
238,238,238,238,9560.0,"(303, 175)","(250, 260)","(256, 233)"
239,239,239,239,9600.0,"(300, 174)","(249, 260)","(254, 233)"
240,240,240,240,9640.0,"(297, 174)","(245, 260)","(251, 233)"
241,241,241,241,9680.0,"(293, 174)","(240, 260)","(246, 233)"
242,242,242,242,9720.0,"(289, 173)","(237, 261)","(243, 233)"
243,243,243,243,9760.0,"(287, 173)","(234, 261)","(241, 233)"
