id,gid,x,y,dir_x,dir_y,radius,time
101,101,-6.32571,-2.91619,-0.999445,-0.0333148,0.1,246.839
101,101,-6.39714,-2.91857,-0.999445,-0.0333148,0.1,246.879
101,101,-6.46857,-2.92095,-0.999445,-0.0333148,0.1,246.919
101,101,-6.54,-2.92333,-0.999445,-0.0333148,0.1,246.959
101,101,-6.61143,-2.92571,-0.999445,-0.0333148,0.1,246.999
101,101,-6.68286,-2.9281,-0.999445,-0.0333148,0.1,247.039
101,101,-6.75429,-2.93048,-0.999445,-0.0333148,0.1,247.079
101,101,-6.82571,-2.93286,-0.999445,-0.0333148,0.1,247.119
101,101,-6.89714,-2.93524,-0.999445,-0.0333148,0.1,247.159
101,101,-6.96857,-2.93762,-0.999445,-0.0333148,0.1,247.199
101,101,-7.04,-2.94,-0.999445,-0.0333148,0.1,247.239
102,102,-7.04,0.14,0.905237,-0.424907,0.1,242.84
102,102,-7.005,0.123571,0.905956,-0.42327,0.1,242.88
102,102,-6.97,0.107143,0.906675,-0.421633,0.1,242.92
102,102,-6.935,0.0907143,0.907394,-0.419996,0.1,242.96
102,102,-6.9,0.0742857,0.908113,-0.418359,0.1,243
102,102,-6.865,0.0578571,0.908832,-0.416721,0.1,243.04
102,102,-6.83,0.0414286,0.909551,-0.415084,0.1,243.08
102,102,-6.795,0.025,0.91027,-0.413447,0.1,243.12
102,102,-6.76,0.00857143,0.910989,-0.41181,0.1,243.16
102,102,-6.725,-0.00785713,0.911708,-0.410173,0.1,243.2
102,102,-6.69,-0.0242857,0.912427,-0.408536,0.1,243.24
102,102,-6.655,-0.0407143,0.913146,-0.406899,0.1,243.28
102,102,-6.62,-0.0571429,0.913865,-0.405261,0.1,243.32
102,102,-6.585,-0.0735714,0.914584,-0.403624,0.1,243.36
102,102,-6.55,-0.09,0.915303,-0.401987,0.1,243.4
102,102,-6.515,-0.106429,0.916022,-0.40035,0.1,243.44
102,102,-6.48,-0.122857,0.916741,-0.398713,0.1,243.48
102,102,-6.445,-0.139286,0.91746,-0.397076,0.1,243.52
102,102,-6.41,-0.155714,0.918179,-0.395439,0.1,243.56
102,102,-6.375,-0.172143,0.918898,-0.393801,0.1,243.6
102,102,-6.34,-0.188571,0.919617,-0.392164,0.1,243.64
102,102,-6.305,-0.205,0.920336,-0.390527,0.1,243.68
102,102,-6.27,-0.221429,0.921055,-0.38889,0.1,243.72
102,102,-6.235,-0.237857,0.921774,-0.387253,0.1,243.76
102,102,-6.2,-0.254286,0.922493,-0.385616,0.1,243.8
102,102,-6.165,-0.270714,0.923212,-0.383979,0.1,243.84
102,102,-6.13,-0.287143,0.923931,-0.382341,0.1,243.88
102,102,-6.095,-0.303571,0.92465,-0.380704,0.1,243.92
102,102,-6.06,-0.32,0.925369,-0.379067,0.1,243.96
102,102,-6.01257,-0.339429,0.927415,-0.370452,0.1,244
102,102,-5.96514,-0.358857,0.929462,-0.361837,0.1,244.04
102,102,-5.91771,-0.378286,0.931508,-0.353222,0.1,244.08
102,102,-5.87029,-0.397714,0.933554,-0.344607,0.1,244.12
102,102,-5.82286,-0.417143,0.935601,-0.335992,0.1,244.16
102,102,-5.77543,-0.436571,0.937647,-0.327377,0.1,244.2
102,102,-5.728,-0.456,0.939693,-0.318762,0.1,244.24
102,102,-5.68057,-0.475429,0.941739,-0.310147,0.1,244.28
102,102,-5.63314,-0.494857,0.943786,-0.301532,0.1,244.32
102,102,-5.58571,-0.514286,0.945832,-0.292918,0.1,244.36
102,102,-5.53829,-0.533714,0.947878,-0.284303,0.1,244.4
102,102,-5.49086,-0.553143,0.949925,-0.275688,0.1,244.44
102,102,-5.44343,-0.572571,0.951971,-0.267073,0.1,244.48
102,102,-5.396,-0.592,0.954017,-0.258458,0.1,244.52
102,102,-5.34857,-0.611429,0.956063,-0.249843,0.1,244.56
102,102,-5.30114,-0.630857,0.95811,-0.241228,0.1,244.6
102,102,-5.25371,-0.650286,0.960156,-0.232613,0.1,244.64
102,102,-5.20629,-0.669714,0.962202,-0.223998,0.1,244.68
102,102,-5.15886,-0.689143,0.964248,-0.215383,0.1,244.72
102,102,-5.11143,-0.708571,0.966295,-0.206768,0.1,244.76
102,102,-5.064,-0.728,0.968341,-0.198153,0.1,244.8
102,102,-5.01657,-0.747429,0.970387,-0.189538,0.1,244.84
102,102,-4.96914,-0.766857,0.972434,-0.180923,0.1,244.88
102,102,-4.92171,-0.786286,0.97448,-0.172308,0.1,244.92
102,102,-4.87429,-0.805714,0.976526,-0.163693,0.1,244.96
102,102,-4.82686,-0.825143,0.978572,-0.155078,0.1,245
102,102,-4.77943,-0.844571,0.980619,-0.146463,0.1,245.04
102,102,-4.732,-0.864,0.982665,-0.137848,0.1,245.08
102,102,-4.68457,-0.883429,0.984711,-0.129233,0.1,245.12
102,102,-4.63714,-0.902857,0.986758,-0.120618,0.1,245.16
102,102,-4.58971,-0.922286,0.988804,-0.112004,0.1,245.2
102,102,-4.54229,-0.941714,0.99085,-0.103389,0.1,245.24
102,102,-4.49486,-0.961143,0.992896,-0.0947736,0.1,245.28
102,102,-4.44743,-0.980571,0.994943,-0.0861587,0.1,245.32
102,102,-4.4,-1,0.996989,-0.0775437,0.1,245.36
102,102,-4.35263,-1.00368,0.996477,-0.0810514,0.1,245.4
102,102,-4.30526,-1.00737,0.995964,-0.0845592,0.1,245.44
102,102,-4.25789,-1.01105,0.995452,-0.0880669,0.1,245.48
102,102,-4.21053,-1.01474,0.99494,-0.0915747,0.1,245.52
102,102,-4.16316,-1.01842,0.994427,-0.0950824,0.1,245.56
102,102,-4.11579,-1.02211,0.993915,-0.0985902,0.1,245.6
102,102,-4.06842,-1.02579,0.993403,-0.102098,0.1,245.64
102,102,-4.02105,-1.02947,0.99289,-0.105606,0.1,245.68
102,102,-3.97368,-1.03316,0.992378,-0.109113,0.1,245.72
102,102,-3.92632,-1.03684,0.991866,-0.112621,0.1,245.76
102,102,-3.87895,-1.04053,0.991354,-0.116129,0.1,245.799
102,102,-3.83158,-1.04421,0.990841,-0.119637,0.1,245.839
102,102,-3.78421,-1.04789,0.990329,-0.123144,0.1,245.879
102,102,-3.73684,-1.05158,0.989817,-0.126652,0.1,245.919
102,102,-3.68947,-1.05526,0.989304,-0.13016,0.1,245.959
102,102,-3.64211,-1.05895,0.988792,-0.133668,0.1,245.999
102,102,-3.59474,-1.06263,0.98828,-0.137175,0.1,246.039
102,102,-3.54737,-1.06632,0.987767,-0.140683,0.1,246.079
102,102,-3.5,-1.07,0.987255,-0.144191,0.1,246.119
102,102,-3.45263,-1.07368,0.986743,-0.147699,0.1,246.159
102,102,-3.40526,-1.07737,0.98623,-0.151206,0.1,246.199
102,102,-3.35789,-1.08105,0.985718,-0.154714,0.1,246.239
102,102,-3.31053,-1.08474,0.985206,-0.158222,0.1,246.279
102,102,-3.26316,-1.08842,0.984693,-0.16173,0.1,246.319
102,102,-3.21579,-1.09211,0.984181,-0.165237,0.1,246.359
102,102,-3.16842,-1.09579,0.983669,-0.168745,0.1,246.399
102,102,-3.12105,-1.09947,0.983157,-0.172253,0.1,246.439
102,102,-3.07368,-1.10316,0.982644,-0.17576,0.1,246.479
102,102,-3.02632,-1.10684,0.982132,-0.179268,0.1,246.519
102,102,-2.97895,-1.11053,0.98162,-0.182776,0.1,246.559
102,102,-2.93158,-1.11421,0.981107,-0.186284,0.1,246.599
102,102,-2.88421,-1.11789,0.980595,-0.189791,0.1,246.639
102,102,-2.83684,-1.12158,0.980083,-0.193299,0.1,246.679
102,102,-2.78947,-1.12526,0.97957,-0.196807,0.1,246.719
102,102,-2.74211,-1.12895,0.979058,-0.200315,0.1,246.759
102,102,-2.69474,-1.13263,0.978546,-0.203822,0.1,246.799
102,102,-2.64737,-1.13632,0.978033,-0.20733,0.1,246.839
102,102,-2.6,-1.14,0.977521,-0.210838,0.1,246.879
102,102,-2.55467,-1.14978,0.977999,-0.207139,0.1,246.919
102,102,-2.50933,-1.15956,0.978476,-0.203441,0.1,246.959
102,102,-2.464,-1.16933,0.978954,-0.199742,0.1,246.999
102,102,-2.41867,-1.17911,0.979432,-0.196043,0.1,247.039
102,102,-2.37333,-1.18889,0.979909,-0.192345,0.1,247.079
102,102,-2.328,-1.19867,0.980387,-0.188646,0.1,247.119
102,102,-2.28267,-1.20844,0.980864,-0.184948,0.1,247.159
102,102,-2.23733,-1.21822,0.981342,-0.181249,0.1,247.199
102,102,-2.192,-1.228,0.98182,-0.17755,0.1,247.239
102,102,-2.14667,-1.23778,0.982297,-0.173852,0.1,247.279
102,102,-2.10133,-1.24756,0.982775,-0.170153,0.1,247.319
102,102,-2.056,-1.25733,0.983252,-0.166455,0.1,247.359
102,102,-2.01067,-1.26711,0.98373,-0.162756,0.1,247.399
102,102,-1.96533,-1.27689,0.984208,-0.159057,0.1,247.439
102,102,-1.92,-1.28667,0.984685,-0.155359,0.1,247.479
102,102,-1.87467,-1.29644,0.985163,-0.15166,0.1,247.519
102,102,-1.82933,-1.30622,0.985641,-0.147962,0.1,247.559
102,102,-1.784,-1.316,0.986118,-0.144263,0.1,247.599
102,102,-1.73867,-1.32578,0.986596,-0.140564,0.1,247.639
102,102,-1.69333,-1.33556,0.987073,-0.136866,0.1,247.679
102,102,-1.648,-1.34533,0.987551,-0.133167,0.1,247.719
102,102,-1.60267,-1.35511,0.988029,-0.129469,0.1,247.759
102,102,-1.55733,-1.36489,0.988506,-0.12577,0.1,247.799
102,102,-1.512,-1.37467,0.988984,-0.122071,0.1,247.839
102,102,-1.46667,-1.38444,0.989461,-0.118373,0.1,247.879
102,102,-1.42133,-1.39422,0.989939,-0.114674,0.1,247.919
102,102,-1.376,-1.404,0.990417,-0.110976,0.1,247.959
